,path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
1170,64,5,61,64.85000610351561,2.0,0,2,0.032786885245901634,4902796.627465675
1171,64,4,77,80.35000610351562,1.0,0,-1,0.012987012987012988,4843587.75774297
1172,64,3,69,76.0,2.0,0,2,0.028985507246376805,3955925.010275511
1173,64,2,56,61.6500244140625,2.8284271247461903,-2,-2,0.05050762722761054,13037250.441145873
1174,64,1,63,64.1500244140625,3.1622776601683795,3,-1,0.05019488349473618,9656814.984661696
1175,64,0,76,83.89996337890625,4.123105625617661,-1,4,0.054251389810758686,14077177.739818925
1176,65,7,57,62.849998474121094,2.8284271247461903,2,-2,0.049621528504319126,56963595.91043722
1177,65,6,66,74.09999084472656,2.8284271247461903,-2,2,0.04285495643554834,37269672.02650461
1178,65,5,47,53.85000610351562,4.47213595499958,4,-2,0.0951518288297783,25852771.68986146
1179,65,4,62,69.300048828125,4.47213595499958,-2,4,0.07213122508063838,74080931.89856416
1180,65,3,43,48.29998779296875,2.0,-2,0,0.04651162790697674,18674744.36089869
1181,65,2,74,81.50003051757812,3.1622776601683795,3,-1,0.042733481894167286,16168053.480563607
1182,65,1,61,66.85003662109375,3.1622776601683795,-1,-3,0.0518406173798095,23861649.816414297
1183,65,0,61,63.75,4.123105625617661,-1,4,0.06759189550192886,8956228.96788236
1184,66,7,61,70.10000610351561,2.0,0,2,0.032786885245901634,36398957.02738191
1185,66,6,54,58.44999694824219,1.0,1,0,0.018518518518518517,3574431.6384602617
1186,66,5,50,54.60000610351562,1.4142135623730951,-1,-1,0.0282842712474619,13487259.865675075
1187,66,4,44,46.64999389648438,2.0,0,2,0.045454545454545456,10357041.97300888
1188,66,3,42,47.25,3.6055512754639887,2,-3,0.08584645893961879,2088761.1934604284
1189,66,2,49,55.94998168945313,4.123105625617661,-1,4,0.08414501276770736,13923827.665136402
1190,66,1,56,59.04998779296875,2.23606797749979,-1,-2,0.03992978531249625,3170874.139994656
1191,66,0,56,66.199951171875,0.0,0,0,0.0,34968719.14736264
1192,67,8,53,60.849998474121094,4.0,4,0,0.07547169811320754,39651694.73799121
1193,67,7,57,66.15000915527344,1.4142135623730951,-1,-1,0.024810764252159563,30287247.15140921
1194,67,6,79,90.29997253417969,2.0,0,-2,0.02531645569620253,29641967.82316425
1195,67,5,55,61.20001220703125,2.23606797749979,-1,2,0.040655781409087086,13878688.560344202
1196,67,4,42,46.9000244140625,2.8284271247461903,-2,-2,0.06734350297014739,1999861.1173528512
1197,67,3,41,46.9000244140625,3.6055512754639887,2,3,0.0879402750113168,6445797.17979994
1198,67,2,47,53.85000610351562,2.23606797749979,-2,-1,0.04757591441488915,67808507.46617372
1199,67,1,72,78.45004272460938,4.123105625617661,4,-1,0.0572653559113564,10576664.28267394
1200,67,0,66,71.0999755859375,1.0,0,-1,0.015151515151515154,10327859.340786774
1201,68,8,41,47.0,4.0,4,0,0.0975609756097561,65528073.67406769
1202,68,7,56,64.29998779296875,0.0,0,0,0.0,70573539.0794208
1203,68,6,51,59.44999694824219,1.0,-1,0,0.0196078431372549,26443084.48428325
1204,68,5,49,55.0999755859375,2.23606797749979,-2,-1,0.04563404035713857,38216336.33916232
1205,68,4,68,72.75,3.6055512754639887,2,-3,0.05302281287447043,16330416.332576785
1206,68,2,72,82.89996337890625,3.6055512754639887,3,-2,0.050077101048110965,117052796.20471248
