path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
123,6,61,99.64999389648438,2.8284271247461903,-2,-2,0.046367657782724434,19110884.14746201
123,5,46,71.0,5.0,3,4,0.10869565217391304,5465643.14493342
123,4,78,128.29998779296878,1.0,-1,0,0.01282051282051282,29411466.37139984
123,3,56,88.64999389648438,2.8284271247461903,-2,-2,0.05050762722761054,12473014.958102731
123,2,75,120.0,2.0,2,0,0.02666666666666667,11246702.564513672
123,1,57,92.54998779296876,2.8284271247461903,-2,-2,0.049621528504319126,14462956.626782183
123,0,68,114.550048828125,5.656854249492381,4,4,0.0831890330807703,23117835.43823455
124,5,51,84.64999389648438,2.23606797749979,-2,1,0.043844470147054705,17474941.76843631
124,4,73,117.50001525878906,3.605551275463989,3,-2,0.049391113362520396,41513026.16001372
124,3,50,80.04998779296875,4.47213595499958,-2,4,0.08944271909999159,20201829.099015184
124,2,75,118.25,0.0,0,0,0.0,13876976.348951768
124,1,79,128.54998779296878,1.4142135623730951,1,-1,0.01790143749839361,6336823.04643106
124,0,40,64.89996337890625,3.605551275463989,-2,-3,0.09013878188659973,9345961.460272621
125,8,59,96.89999389648438,4.0,0,4,0.06779661016949153,38555651.44039062
125,7,65,108.19998168945312,1.0,0,-1,0.015384615384615385,19550048.727470264
125,6,64,104.55001831054688,3.605551275463989,-2,-3,0.05633673867912483,18142957.302469153
125,5,64,105.8499755859375,2.8284271247461903,-2,2,0.04419417382415922,17044727.97721848
125,4,60,99.55001831054688,2.8284271247461903,2,-2,0.047140452079103175,28190729.76686682
125,3,42,63.4000244140625,3.605551275463989,-2,3,0.08584645893961879,1982699.2785248226
125,2,48,79.9000244140625,4.242640687119285,3,-3,0.08838834764831843,3679353.578119699
125,1,46,75.34991455078125,5.0,-3,4,0.10869565217391304,1882221.5031391177
125,0,67,114.75,4.0,4,0,0.05970149253731343,63032636.50407804
126,8,43,65.10000610351561,1.0,0,-1,0.023255813953488372,6131855.584665903
126,7,56,95.0,2.23606797749979,-2,1,0.039929785312496247,9354878.768518241
126,6,74,122.1999969482422,1.0,0,-1,0.013513513513513514,46122200.56668147
126,5,73,120.70001220703124,2.23606797749979,-2,1,0.03063106818492863,21717663.20615412
126,4,66,102.15005493164062,3.605551275463989,3,-2,0.05462956477975741,4000049.0889524426
126,3,52,85.300048828125,4.123105625617661,-1,4,0.07929049280033963,18822016.928785868
126,2,52,78.300048828125,1.0,-1,0,0.019230769230769232,2564414.23151174
126,1,45,70.050048828125,1.4142135623730951,1,-1,0.03142696805273545,1542741.3469408813
126,0,74,113.95001220703124,2.0,-2,0,0.02702702702702703,4200790.14229295
127,6,69,117.9499969482422,1.0,1,0,0.014492753623188406,24112193.19902315
127,5,51,82.35000610351562,2.23606797749979,-2,1,0.043844470147054705,19274500.968369793
127,4,49,81.35000610351562,2.0,2,0,0.04081632653061224,21542274.254003666
127,3,58,89.74996948242188,2.8284271247461903,-2,-2,0.048765984909417075,8814377.9413225
127,2,72,115.9000244140625,5.656854249492381,4,4,0.07856742013183862,9335050.986021744
127,1,49,81.5999755859375,2.0,0,-2,0.04081632653061224,2391016.8995890296
127,0,78,134.0999755859375,0.0,0,0,0.0,16325144.651739687
128,6,69,110.59999084472656,1.4142135623730951,-1,-1,0.02049584873004486,8865196.170766152
128,5,76,126.80001831054688,3.0,0,3,0.039473684210526314,20425198.877420194
128,4,69,114.85000610351562,2.23606797749979,-2,-1,0.03240678228260565,14399020.933305882
128,3,61,99.94992065429688,2.0,2,0,0.03278688524590164,2574065.6717956164
128,2,60,95.6500244140625,1.4142135623730951,-1,-1,0.023570226039551587,5573429.813811483
128,1,43,70.2000732421875,2.0,2,0,0.046511627906976744,4302154.124654515
128,0,41,71.8499755859375,1.0,0,-1,0.024390243902439025,44103904.72445829
129,8,43,68.70000457763672,4.47213595499958,-2,4,0.10400316174417627,16261034.125316277
129,7,65,108.25001525878906,4.0,4,0,0.06153846153846154,24281152.01052292
129,6,73,127.25003051757812,2.0,0,-2,0.0273972602739726,21436918.693525326
129,5,62,103.64999389648438,2.23606797749979,-1,-2,0.03606561254031919,12108507.446103718
129,4,70,118.29998779296876,4.47213595499958,-2,4,0.06388765649999399,4833398.480281863
129,3,51,87.1500244140625,2.0,2,0,0.0392156862745098,45220018.55093699
129,2,42,71.75,2.0,-2,0,0.047619047619047616,11139735.104434744
129,1,75,126.20001220703124,2.8284271247461903,2,-2,0.03771236166328254,15701986.648810992
129,0,51,88.45001220703125,3.605551275463989,-3,-2,0.07069708383262724,35626404.853734426
130,8,60,101.39999389648438,2.8284271247461903,-2,2,0.047140452079103175,22891802.83570577
130,7,46,75.64999389648438,4.0,4,0,0.08695652173913043,17196002.97373586
130,6,45,70.79998779296875,1.0,0,-1,0.022222222222222223,2594673.336679401
130,4,52,82.30001831054688,1.0,0,-1,0.019230769230769232,2331653.522976759
130,3,63,108.14999389648438,4.47213595499958,-2,4,0.07098628499999332,64363133.8219996
130,2,55,95.3499755859375,2.23606797749979,-2,-1,0.040655781409087086,16893939.590763375
130,1,57,97.54998779296876,4.242640687119285,3,-3,0.07443229275647868,4908900.245060558
130,0,76,131.14996337890622,3.0,0,3,0.039473684210526314,22580081.71121841
131,3,79,137.54998779296878,0.0,0,0,0.0,29268140.35103167
131,2,42,66.39999389648439,0.0,0,0,0.0,5818994.391463148
131,1,69,120.89999389648438,2.8284271247461903,-2,-2,0.04099169746008972,11431525.450967547
131,0,50,88.1500244140625,5.0,4,3,0.1,7873219.184461902
132,7,66,106.75,2.0,2,0,0.030303030303030304,9615246.2309999
132,6,47,74.39999389648438,2.8284271247461903,-2,-2,0.060179300526514684,6618696.055676046
132,5,56,87.0,4.123105625617661,1,4,0.07362688617174394,7439452.485783133
132,4,74,129.05001831054688,1.0,-1,0,0.013513513513513514,11593470.146965384
132,3,42,72.75003051757812,1.0,1,0,0.023809523809523808,17782535.45853058
132,2,78,131.35003662109378,1.0,-1,0,0.01282051282051282,26797708.81277747
132,1,77,127.65008544921876,2.23606797749979,2,-1,0.029039843863633633,13057223.043335686
132,0,46,80.2999267578125,2.23606797749979,-2,-1,0.04861017342390848,24525547.326387264
133,8,63,110.09999084472656,4.123105625617661,4,-1,0.06544612104155016,58996660.56770376
133,7,40,66.4000244140625,1.4142135623730951,-1,-1,0.035355339059327376,18499765.195617292
133,6,72,118.3499755859375,1.4142135623730951,-1,-1,0.019641855032959656,8466159.590909868
133,5,73,128.699951171875,4.123105625617661,-1,4,0.05648089898106384,5840454.66541545
133,4,47,76.14996337890625,2.23606797749979,1,-2,0.04757591441488915,8424191.457238188
133,3,47,75.40008544921875,2.0,-2,0,0.0425531914893617,8184307.921600375
133,2,58,99.70001220703124,4.47213595499958,4,-2,0.07710579232757896,60768515.122100174
133,1,46,79.5999755859375,3.605551275463989,-2,3,0.07838154946660846,12676450.394558027
133,0,71,119.8499755859375,2.23606797749979,-2,-1,0.03149391517605338,8130493.435449894
134,6,61,103.9499969482422,2.8284271247461903,2,-2,0.046367657782724434,22726507.781841636
134,5,77,132.90000915527344,1.0,-1,0,0.012987012987012988,11415801.15172628
134,4,79,128.74996948242188,1.0,0,1,0.012658227848101266,5382678.264859531
134,3,63,99.90005493164062,2.23606797749979,-1,-2,0.03549314249999666,8682327.137824947
134,2,65,116.24993896484376,3.605551275463989,2,3,0.05547001962252291,25040699.46094376
134,1,63,111.64996337890624,0.0,0,0,0.0,23012947.136583734
134,0,63,109.300048828125,1.0,0,-1,0.015873015873015872,4777955.807878705
135,7,79,139.0,5.0,4,3,0.06329113924050633,11854473.721444251
135,6,50,80.89997863769531,3.605551275463989,-2,-3,0.07211102550927978,2233195.1309097563
135,5,55,87.70001220703125,3.0,0,3,0.05454545454545454,2505844.6517901225
135,4,53,92.54995727539062,1.0,0,-1,0.018867924528301886,2729676.099328894
135,3,59,103.10003662109376,1.0,0,-1,0.01694915254237288,20520373.41019374
135,2,75,134.35003662109378,2.23606797749979,-1,2,0.0298142396999972,61290308.44028017
135,1,74,129.75,1.4142135623730951,1,-1,0.019110994086122907,31619058.15989696
135,0,60,99.699951171875,0.0,0,0,0.0,9101378.834706858
136,7,60,104.4499969482422,2.0,-2,0,0.03333333333333333,20505557.185445175
136,4,78,132.24998474121094,0.0,0,0,0.0,25289488.188277524
136,3,63,110.19998168945312,0.0,0,0,0.0,59820461.40298128
136,2,51,87.64999389648438,2.0,-2,0,0.0392156862745098,21252039.30346305
136,1,54,92.6500244140625,4.47213595499958,4,-2,0.08281733249999222,18935186.250941887
136,0,70,124.59991455078124,4.0,0,4,0.05714285714285714,24369133.65403587
137,7,58,102.0999984741211,1.4142135623730951,-1,-1,0.024382992454708537,17990204.215345964
137,6,74,131.35000610351562,2.0,0,2,0.02702702702702703,58107860.47527591
137,5,58,98.64999389648438,3.1622776601683795,1,-3,0.05452202862359275,17377481.749024656
137,4,74,127.6500244140625,2.0,0,2,0.02702702702702703,6602533.332758992
137,3,57,101.95004272460938,2.8284271247461903,-2,-2,0.049621528504319126,14604273.94442107
137,2,70,120.85003662109376,5.0,4,3,0.07142857142857142,4635267.065925874
137,1,76,129.7999267578125,2.23606797749979,-2,-1,0.029421947072365656,10161311.496417975
137,0,44,78.5999755859375,2.0,0,-2,0.045454545454545456,12392531.55738074
138,7,59,101.35000610351562,5.0,3,4,0.0847457627118644,14990355.462174049
138,6,76,133.5999755859375,3.605551275463989,-3,-2,0.04744146415084196,4852698.4285588525
138,5,79,140.70001220703122,3.0,3,0,0.0379746835443038,8362619.36040228
138,4,49,85.04998779296875,2.23606797749979,-1,-2,0.04563404035713857,23006734.16349447
138,3,44,76.7000732421875,3.0,0,3,0.06818181818181818,21823613.072959926
