path_num,point_num,point_coords,teo_point_time,sim_drone_time,teo_point_dist,teo_point_vel,Energy
352,1,"[-1, 2, 1]",113,63.5,2.8284271247461903,0.025030328537576904,37725680.70930608
352,2,"[0, 2, 1]",74,96.54997253417969,1.0,0.013513513513513514,34193813.009988844
352,3,"[0, 3, 1]",96,84.5,1.0,0.010416666666666666,28046875.77766937
352,4,"[0, -5, 1]",86,87.10000610351562,8.0,0.09302325581395349,27775544.64868279
353,0,"[-1, -5, 1]",69,81.05001831054688,5.0990195135927845,0.07389883353033021,63467691.91977672
353,1,"[0, 4, 1]",112,66.45001220703125,9.055385138137417,0.08085165301908408,70940102.11245674
353,2,"[-2, -4, 1]",63,68.39999389648439,8.246211251235321,0.13089224208310032,21916797.180724088
353,3,"[0, 3, 1]",52,91.45000457763672,7.280109889280518,0.14000211325539458,38338826.38298569
353,4,"[0, -4, 1]",93,51.349998474121094,7.0,0.07526881720430108,54586037.442962885
354,0,"[-1, 0, 1]",71,49.04998779296875,1.0,0.014084507042253521,71241611.5738496
354,1,"[1, 1, 1]",73,59.6500244140625,2.23606797749979,0.03063106818492863,169840569.55130088
354,2,"[1, 3, 1]",75,51.60000610351562,2.0,0.02666666666666667,15129191.361495597
354,3,"[3, 3, 1]",79,92.60000610351562,2.0,0.02531645569620253,84177872.37772758
354,4,"[-3, -5, 1]",118,116.5999755859375,10.0,0.0847457627118644,121293552.39707047
354,5,"[0, -4, 1]",96,75.5,3.1622776601683795,0.03294039229342062,28939826.053131696
355,0,"[-3, 1, 1]",58,113.04998779296876,3.1622776601683795,0.05452202862359275,173195292.1363022
355,1,"[0, -3, 1]",93,89.50003051757812,5.0,0.053763440860215055,205767795.96700558
355,2,"[2, 1, 1]",97,76.39999389648438,4.47213595499958,0.04610449438143897,278307430.5463464
355,3,"[3, 3, 1]",68,90.39999389648438,2.23606797749979,0.032883352610291024,298948340.9021808
355,4,"[-5, 4, 1]",92,65.34999084472656,8.06225774829855,0.08763323639454945,21198322.08151442
356,0,"[2, 5, 1]",77,91.04998779296876,5.385164807134504,0.06993720528746109,63246198.14964209
356,1,"[2, -5, 1]",73,100.49996948242188,10.0,0.136986301369863,63679180.222625226
356,2,"[-3, -2, 1]",117,83.50003051757812,5.830951894845301,0.04983719568243847,62022080.526300296
356,3,"[1, 1, 1]",88,86.44999694824219,5.0,0.056818181818181816,81867903.24074982
357,0,"[-2, 1, 1]",116,106.05001831054688,2.23606797749979,0.01927644808189474,45505168.15898368
357,1,"[0, -2, 1]",115,63.39999389648438,3.605551275463989,0.03135261978664338,23801086.761482324
357,2,"[2, 0, 1]",85,88.34999084472656,2.8284271247461903,0.03327561323230812,86739797.18381606
357,3,"[-2, 0, 1]",56,54.30000305175781,4.0,0.07142857142857142,147760390.67530715
358,0,"[0, 0, 1]",84,79.0999755859375,0.0,0.0,28942391.422803096
358,1,"[0, 2, 1]",91,114.50003051757812,2.0,0.02197802197802198,122569425.73916665
358,2,"[1, -4, 1]",77,65.39999389648439,6.082762530298219,0.07899691597789896,106773818.12161882
358,3,"[-1, 3, 1]",52,89.45002746582031,7.280109889280518,0.14000211325539458,74294532.9844903
358,4,"[1, 3, 1]",94,51.35000610351562,2.0,0.02127659574468085,64743487.080032006
358,5,"[-3, 4, 1]",67,75.35000610351562,4.123105625617661,0.06153888993459195,35150595.8702801
359,0,"[1, 5, 1]",80,58.04998779296875,5.0990195135927845,0.0637377439199098,129281847.60884653
359,1,"[3, -5, 1]",72,89.25,10.198039027185569,0.14163943093313291,137988420.66750726
359,2,"[5, -2, 1]",87,108.19998168945312,3.605551275463989,0.041443118108781485,1334381330.3875992
